Date,Open,High,Low,Close,Adj Close,Volume
2014-02-03,163.02000427246094,163.41000366210938,159.25999450683594,159.61000061035156,133.44647216796875,2969400
2014-02-04,160.2899932861328,161.0800018310547,159.72999572753906,160.69000244140625,134.34947204589844,1116700
2014-02-05,160.10000610351562,160.82000732421875,159.17999267578125,160.4199981689453,134.12367248535156,1701400
2014-02-06,160.91000366210938,162.58999633789062,160.8800048828125,162.57000732421875,135.92124938964844,1109600
2014-02-07,163.3699951171875,164.77999877929688,162.85000610351562,164.6699981689453,137.6770782470703,1258200
2014-02-10,164.63999938964844,164.9600067138672,164.1999969482422,164.92999267578125,137.8944549560547,937400
2014-02-11,165.1199951171875,167.1300048828125,164.97000122070312,166.75,139.41607666015625,1497400
2014-02-12,166.99000549316406,167.5,166.47999572753906,166.89999389648438,139.5414581298828,1855000
2014-02-13,165.6999969482422,167.83999633789062,165.6999969482422,167.72000122070312,140.22708129882812,1336600
2014-02-14,167.55999755859375,168.91000366210938,167.3699951171875,168.61000061035156,140.97117614746094,917200
2014-02-18,168.74000549316406,169.0399932861328,168.27000427246094,168.86000061035156,141.18023681640625,1174300
2014-02-19,168.4199981689453,169.47999572753906,167.57000732421875,167.6999969482422,140.2103729248047,1928100
2014-02-20,167.92999267578125,169.07000732421875,167.3300018310547,168.64999389648438,141.004638671875,1080000
2014-02-21,169.02000427246094,169.41000366210938,168.4199981689453,168.57000732421875,140.93777465820312,706200
2014-02-24,168.8699951171875,170.57000732421875,168.77999877929688,169.3699951171875,141.6066436767578,978600
2014-02-25,169.5800018310547,170.02999877929688,168.83999633789062,169.30999755859375,141.5564422607422,1001000
2014-02-26,169.58999633789062,170.0399932861328,168.91000366210938,169.30999755859375,141.5564422607422,709000
2014-02-27,169.14999389648438,170.27000427246094,168.97000122070312,170.25,142.34234619140625,1034200
2014-02-28,170.22000122070312,171.47000122070312,169.57000732421875,170.6300048828125,142.66006469726562,853900
2014-03-03,169.19000244140625,169.88999938964844,168.3800048828125,169.4600067138672,141.68190002441406,2235900
2014-03-04,171.1699981689453,172.22999572753906,171.1300048828125,171.8800048828125,143.70516967773438,1281500
2014-03-05,172.0,172.30999755859375,171.7899932861328,171.91000366210938,143.730224609375,983100
2014-03-06,172.5399932861328,172.83999633789062,172.19000244140625,172.4600067138672,144.1900634765625,1037000
2014-03-07,173.0800018310547,173.1300048828125,171.7899932861328,172.4199981689453,144.1566619873047,1205600
2014-03-10,172.24000549316406,172.47999572753906,171.47000122070312,172.4499969482422,144.18170166015625,885300
2014-03-11,172.72999572753906,172.9199981689453,171.1699981689453,171.5,143.38748168945312,945700
2014-03-12,170.75,171.64999389648438,170.36000061035156,171.6199951171875,143.48779296875,1065000
2014-03-13,172.13999938964844,172.24000549316406,169.2100067138672,169.72000122070312,141.89926147460938,1659400
2014-03-14,169.35000610351562,170.22000122070312,169.0,169.22999572753906,141.48960876464844,1323500
2014-03-17,170.05999755859375,171.13999938964844,169.99000549316406,170.75,142.7604217529297,1695400
2014-03-18,171.07000732421875,172.17999267578125,170.92999267578125,171.9600067138672,143.7720489501953,779700
2014-03-19,172.02999877929688,172.22999572753906,169.99000549316406,171.02000427246094,142.9861602783203,1166300
2014-03-20,170.67999267578125,172.16000366210938,170.3699951171875,171.99000549316406,143.79713439941406,818200
2014-03-21,172.80999755859375,173.19000244140625,171.24000549316406,171.4199981689453,143.3206024169922,825200
2014-03-24,171.19000244140625,171.38999938964844,169.16000366210938,169.9199981689453,142.71499633789062,2004900
2014-03-25,170.77999877929688,171.25,169.77999877929688,170.75,143.41213989257812,1202100
2014-03-26,171.38999938964844,171.63999938964844,169.4499969482422,169.49000549316406,142.35391235351562,1155600
2014-03-27,169.32000732421875,169.77999877929688,168.47999572753906,169.14999389648438,142.06832885742188,980700
2014-03-28,169.6300048828125,170.7899932861328,169.5,169.89999389648438,142.69822692871094,548900
2014-03-31,171.0399932861328,171.58999633789062,170.8699951171875,171.35000610351562,143.91603088378906,822000
2014-04-01,171.8699951171875,172.58999633789062,171.75999450683594,172.5,144.88194274902344,1247500
2014-04-02,172.72000122070312,173.2899932861328,172.39999389648438,173.08999633789062,145.37747192382812,1972800
2014-04-03,173.3300018310547,173.3699951171875,172.32000732421875,172.82000732421875,145.15072631835938,718300
2014-04-04,173.77000427246094,173.82000732421875,170.52999877929688,170.74000549316406,143.40371704101562,2270800
2014-04-07,170.36000061035156,170.64999389648438,168.57000732421875,168.89999389648438,141.8583221435547,1645000
2014-04-08,168.7899932861328,169.8800048828125,168.22000122070312,169.60000610351562,142.44627380371094,2064000
2014-04-09,170.0800018310547,171.4600067138672,169.61000061035156,171.42999267578125,143.9832763671875,768800
2014-04-10,171.4199981689453,171.49000549316406,167.6199951171875,167.77000427246094,140.90924072265625,1286900
2014-04-11,166.9199981689453,168.0500030517578,166.11000061035156,166.25999450683594,139.64096069335938,1762400
2014-04-14,167.5800018310547,168.0,166.25999450683594,167.60000610351562,140.76649475097656,1456600
2014-04-15,167.97999572753906,168.8699951171875,166.3300018310547,168.75999450683594,141.74073791503906,2160100
2014-04-16,169.9199981689453,170.5500030517578,169.19000244140625,170.5399932861328,143.23573303222656,2410000
2014-04-17,170.35000610351562,171.24000549316406,170.02999877929688,170.74000549316406,143.40371704101562,925500
2014-04-21,170.85000610351562,171.4199981689453,170.66000366210938,171.3699951171875,143.9328155517578,804400
2014-04-22,171.57000732421875,172.6199951171875,171.49000549316406,172.1199951171875,144.56272888183594,1053300
2014-04-23,172.08999633789062,172.16000366210938,171.64999389648438,171.7100067138672,144.2184600830078,724500
2014-04-24,172.6300048828125,172.6300048828125,171.3000030517578,172.08999633789062,144.53761291503906,543900
2014-04-25,171.5500030517578,171.6300048828125,170.32000732421875,170.7100067138672,143.37860107421875,1357900
2014-04-28,171.38999938964844,171.9600067138672,169.49000549316406,171.22999572753906,143.81527709960938,647800
2014-04-29,171.7899932861328,172.2899932861328,171.42999267578125,172.0500030517578,144.5040283203125,1065900
2014-04-30,171.75,172.7100067138672,171.5,172.58999633789062,144.95753479003906,605300
2014-05-01,172.5,173.02999877929688,172.02999877929688,172.60000610351562,144.96595764160156,623900
2014-05-02,172.55999755859375,173.25999450683594,172.05999755859375,172.32000732421875,144.7307891845703,754800
2014-05-05,171.49000549316406,172.72000122070312,171.02000427246094,172.67999267578125,145.03309631347656,792600
2014-05-06,172.27000427246094,172.3800048828125,171.11000061035156,171.17999267578125,143.77325439453125,567700
2014-05-07,171.72999572753906,172.22000122070312,170.44000244140625,172.19000244140625,144.62158203125,1160600
2014-05-08,171.9600067138672,173.1999969482422,171.42999267578125,171.97999572753906,144.4452362060547,1390700
2014-05-09,171.97999572753906,172.2899932861328,171.1999969482422,172.27999877929688,144.6971435546875,955400
2014-05-12,172.9600067138672,173.97999572753906,172.9600067138672,173.91000366210938,146.06622314453125,780100
2014-05-13,174.08999633789062,174.49000549316406,173.88999938964844,174.07000732421875,146.20065307617188,994800
2014-05-14,173.91000366210938,173.97000122070312,173.0,173.22999572753906,145.49508666992188,1335700
2014-05-15,172.89999389648438,172.92999267578125,170.8699951171875,171.6699981689453,144.18478393554688,3191100
2014-05-16,171.8000030517578,172.36000061035156,171.10000610351562,172.33999633789062,144.74754333496094,699600
2014-05-19,171.97999572753906,173.10000610351562,171.80999755859375,172.92999267578125,145.24307250976562,926900
2014-05-20,172.86000061035156,172.8800048828125,171.41000366210938,171.7899932861328,144.28558349609375,669400
2014-05-21,172.36000061035156,173.3699951171875,172.30999755859375,173.27999877929688,145.5370635986328,991300
2014-05-22,173.35000610351562,174.05999755859375,173.05999755859375,173.75,145.93179321289062,859000
2014-05-23,173.91000366210938,174.5399932861328,173.82000732421875,174.47000122070312,146.5364990234375,613900
2014-05-27,175.08999633789062,175.5500030517578,175.0,175.5,147.4016571044922,890000
2014-05-28,175.52000427246094,175.7899932861328,175.08999633789062,175.32000732421875,147.25042724609375,990900
2014-05-29,175.82000732421875,176.32000732421875,175.3699951171875,176.32000732421875,148.09034729003906,541000
2014-05-30,176.16000366210938,176.69000244140625,175.97999572753906,176.5500030517578,148.28353881835938,874700
2014-06-02,176.8300018310547,176.85000610351562,175.94000244140625,176.7899932861328,148.485107421875,1620200
2014-06-03,176.35000610351562,176.7899932861328,176.22000122070312,176.67999267578125,148.3927459716797,1252900
2014-06-04,176.3699951171875,177.14999389648438,176.1999969482422,177.0,148.66148376464844,984900
2014-06-05,177.24000549316406,178.3800048828125,176.6300048828125,178.1999969482422,149.66934204101562,853600
2014-06-06,178.6199951171875,179.08999633789062,178.52000427246094,179.0500030517578,150.38327026367188,586800
2014-06-09,179.0399932861328,179.69000244140625,178.8699951171875,179.22999572753906,150.5344696044922,461800
2014-06-10,179.02999877929688,179.3000030517578,178.66000366210938,179.27000427246094,150.5680389404297,959900
2014-06-11,178.63999938964844,178.82000732421875,178.25,178.69000244140625,150.0808868408203,558100
2014-06-12,178.4199981689453,178.52000427246094,176.97999572753906,177.36000061035156,148.96385192871094,891400
2014-06-13,177.72999572753906,178.07000732421875,177.1699981689453,177.9199981689453,149.43417358398438,731200
2014-06-16,177.69000244140625,178.41000366210938,177.5,178.07000732421875,149.56016540527344,756700
2014-06-17,177.8300018310547,178.67999267578125,177.6300048828125,178.5399932861328,149.9549102783203,2934400
2014-06-18,178.58999633789062,179.97000122070312,178.1699981689453,179.8699951171875,151.07196044921875,501900
2014-06-19,180.0399932861328,180.2100067138672,179.50999450683594,180.08999633789062,151.2567138671875,746900
2014-06-20,180.50999450683594,180.57000732421875,180.25,180.4499969482422,151.55908203125,830300
2014-06-23,179.6999969482422,179.72999572753906,179.27000427246094,179.55999755859375,151.49078369140625,737700
2014-06-24,179.2899932861328,180.13999938964844,178.30999755859375,178.5,150.59640502929688,391700
2014-06-25,178.13999938964844,179.49000549316406,178.1300048828125,179.25999450683594,151.2376708984375,586000
2014-06-26,179.36000061035156,179.3800048828125,177.97999572753906,179.1699981689453,151.16175842285156,676800
2014-06-27,178.7899932861328,179.55999755859375,178.69000244140625,179.47999572753906,151.42327880859375,1032300
2014-06-30,179.42999267578125,179.82000732421875,179.27999877929688,179.42999267578125,151.38108825683594,1261200
2014-07-01,179.8800048828125,181.19000244140625,179.8300018310547,180.69000244140625,152.444091796875,1199000
2014-07-02,180.6699981689453,181.02999877929688,180.57000732421875,180.82000732421875,152.5537567138672,511500
2014-07-03,181.30999755859375,181.77999877929688,181.1999969482422,181.72999572753906,153.32156372070312,327900
2014-07-07,181.3800048828125,181.5,180.83999633789062,181.13999938964844,152.8238067626953,1151800
2014-07-08,180.77000427246094,180.82000732421875,179.5,179.97000122070312,151.83670043945312,749400
2014-07-09,180.36000061035156,180.8800048828125,180.0,180.72000122070312,152.4694366455078,930300
2014-07-10,179.00999450683594,180.47000122070312,178.83999633789062,180.02999877929688,151.88729858398438,614600
2014-07-11,179.94000244140625,180.36000061035156,179.50999450683594,180.27000427246094,152.08981323242188,520400
